feature,rf_importance,mean_abs_shap_scaled,mean_abs_shap_raw,dir_corr_shap_toward_DR,dir_corr_shap_toward_NoDR,spearman_grade,spearman_dr_binary
LA,0.0820014811718517,0.04103082780203491,3.0474902995966355e-07,0.44022074944399375,-0.4402207494439938,0.872260653474587,0.8665239534547051
LA_RET,0.08899311763948808,0.039136378254648975,0.001290031969567105,0.10752815438784914,-0.10752815438784921,0.8528486837843824,0.8437410005578581
HE_COUNT,0.08427903968306842,0.03581526015156886,0.001898233346627419,0.5644259134210982,-0.564425913421098,0.8855600588714725,0.8656553639593225
MA_A,0.05697414477489318,0.032468483968343065,4.000708717164329e-06,0.4475323302246403,-0.44753233022464023,0.8496328023508942,0.8758676756216646
HA,0.06810041300141569,0.02914193311719558,3.4307626007361406e-07,0.2804787476308564,-0.2804787476308568,0.8871349630363502,0.8645960458775678
HA_RET,0.06445354451224518,0.02667238770765836,0.0014737874194914718,0.08561110008454381,-0.08561110008454427,0.8709300389443381,0.8449161081906852
EA,0.05516392080421413,0.02389181898102492,2.802454942239598e-07,0.40547921672916154,-0.40547921672916126,0.8384534422629346,0.8420659675086908
EX_COUNT,0.0525089867586198,0.01935740430096838,0.00021724717925610253,0.5035682093516181,-0.503568209351618,0.8274539071257971,0.840242281958858
EA_RET,0.048483234378847204,0.018450917491012516,0.0013690952888321206,0.11482154660945706,-0.11482154660945744,0.8132728130639293,0.8162676318899255
MAC,0.02810915223067671,0.010497825048386825,0.0020841861303751564,0.49679576824244526,-0.496795768242445,0.7097317006919153,0.7366182217747803
CTW_A,0.02084237298268642,0.0083282104575461,7.358983051006295e-07,0.27812135665694626,-0.2781213566569465,0.5456049132256878,0.5083034868002594
CRVE,0.021251202363213144,0.007427094263002696,0.0007588187368701249,-0.5974270702717287,0.5974270702717278,-0.26338857534046006,-0.21752243535114132
AD,0.019485002919097178,0.005171368536158876,0.016831390714456117,-0.3081703492090628,0.3081703492090633,0.06477355629961258,0.09843574079932679
VLEN,0.019283158846452087,0.005149735195673814,4.169137051197253e-06,-0.14453135215823584,0.1445313521582361,-0.1682479261514357,-0.1521262950818082
FD,0.01900937598208969,0.004983062804234408,0.08897083363353336,-0.708485896016684,0.7084858960166852,-0.19968788334245532,-0.19030649759727147
WID_SD,0.016668808512352782,0.004866071040639098,0.006955201379464554,-0.6786792194141049,0.6786792194141048,-0.31862628786285174,-0.3006723653411604
VFD,0.01613341368332803,0.004812363295354095,0.07225294919144494,-0.6798147994349809,0.6798147994349819,-0.2350573476919941,-0.22678946961089572
JUNC,0.017518389042881163,0.004683255450859842,1.6455995071950857e-05,-0.7742798853574994,0.7742798853574996,-0.35668599801552414,-0.3591827210652013
VWID_SD,0.017868077083332837,0.004469807631014068,0.005647230616818876,-0.5772308968451163,0.5772308968451153,-0.2701173690928575,-0.25105942532477193
VWID,0.01583074333089883,0.004114561232323215,0.009939242553248547,-0.6490959641090387,0.6490959641090392,-0.17162295788016438,-0.19175020878925444
ATI,0.01764343806132145,0.003603939112357242,0.031543898443180576,-0.042877275673197414,0.04287727567319561,-0.05160330858137983,-0.04821940073169258
WID,0.014581357869846557,0.003494151420103381,0.010057775186998779,-0.6532827164162996,0.6532827164163001,-0.20918214165244087,-0.2335983237460587
TI,0.013775541320351867,0.0031944434773079804,0.04300773307771091,0.12208680495504297,-0.12208680495504244,-0.08671582123794976,-0.05929745725930584
VD,0.013178566894843223,0.0031256387453197695,0.002380584928829022,-0.7800173581679875,0.7800173581679873,-0.3153728313946227,-0.3182895438054934
AWID_SD,0.01445531915606483,0.0029554861483100047,0.004782879830832596,-0.7216342096160269,0.7216342096160262,-0.3308841281897197,-0.33397527081028155
AFD,0.015983544152887278,0.002877926923915437,0.046311512107885075,0.3463763572540543,-0.34637635725405247,0.23423911681419066,0.26688171960447743
CI,0.01405560259505791,0.0028199260181962374,0.0007666127167352233,-0.6644126188391566,0.6644126188391566,-0.09390298764795513,-0.08552037851428976
VTI,0.016810510243011532,0.0027768548226547026,0.033943383424081715,-0.3561174315790007,0.35611743157900205,-0.10410270108032388,-0.10473936046514822
AVR,0.01530456617266177,0.0026292170215499225,0.01124338233442749,0.21033162755111512,-0.2103316275511122,0.026875928912729333,-0.00324835018196173
CRAE,0.014361784694869182,0.002549112772925158,0.0004735638295300602,-0.5591362279451637,0.5591362279451647,-0.26523922367335423,-0.26156576952355254
VeD,0.01144054069394776,0.002493112422251447,0.001869751892238126,-0.7852993953879441,0.7852993953879442,-0.31847657922896666,-0.3236156675272685
ADV_RATIO,0.011768469519288397,0.0024020175415183673,0.026918444673112614,0.6267639948458608,-0.6267639948458605,0.20917245426138215,0.23238872788250545
AWID,0.01368317892419605,0.002281943247574671,0.0057092429941124475,-0.5463272320599325,0.5463272320599324,-0.20877471766277164,-0.21672251048841973
