total=767 done=0 todo=767
[10/767] 64a13949e879 (HA=29796 EA=65835 MAC=12) elapsed=2.5m ETA=192.1m
[20/767] 658ad9f09f5d (HA=0 EA=0 MAC=0) elapsed=5.3m ETA=199.3m
[30/767] 66366a90d1ef (HA=0 EA=0 MAC=0) elapsed=7.5m ETA=185.3m
[40/767] 6735931000ec (HA=19696 EA=65068 MAC=6) elapsed=10.7m ETA=193.9m
[50/767] 683023cda6a5 (HA=0 EA=0 MAC=0) elapsed=12.9m ETA=185.4m
[60/767] 692e946b1f85 (HA=0 EA=0 MAC=3) elapsed=15.2m ETA=179.1m
[70/767] 69fff98cb32a (HA=719 EA=5402 MAC=0) elapsed=17.3m ETA=172.7m
[80/767] 6b30767595d8 (HA=0 EA=0 MAC=0) elapsed=19.1m ETA=163.9m
[90/767] 6c00dd8bf708 (HA=0 EA=0 MAC=0) elapsed=21.5m ETA=161.6m
[100/767] 6cbc3dad809c (HA=900 EA=88351 MAC=6) elapsed=23.5m ETA=156.7m
[110/767] 6d3d1fe6c32a (HA=7053 EA=1595 MAC=0) elapsed=25.5m ETA=152.4m
[120/767] 6de39b94f634 (HA=51 EA=28 MAC=1) elapsed=27.5m ETA=148.2m
[130/767] 6e68e742f5bc (HA=1679 EA=1617 MAC=2) elapsed=30.1m ETA=147.3m
[140/767] 6f4719c6bb4b (HA=398858 EA=235553 MAC=0) elapsed=32.3m ETA=144.5m
[150/767] 702de9dcde32 (HA=4639 EA=9394 MAC=3) elapsed=34.4m ETA=141.3m
[160/767] 711d1480d2e3 (HA=6268 EA=47319 MAC=1) elapsed=35.9m ETA=136.3m
[170/767] 7247a2c97f71 (HA=4199 EA=50958 MAC=10) elapsed=38.8m ETA=136.3m
[180/767] 7347bd23ba80 (HA=0 EA=7 MAC=2) elapsed=41.5m ETA=135.4m
[190/767] 74211a2b6dcf (HA=0 EA=0 MAC=0) elapsed=43.8m ETA=132.9m
[200/767] 7525ebb3434d (HA=55039 EA=159136 MAC=4) elapsed=46.2m ETA=130.9m
