feature,importance
LA_RET,0.08899311763948808
HE_COUNT,0.08427903968306842
LA,0.0820014811718517
HA,0.06810041300141569
HA_RET,0.06445354451224518
MA_A,0.05697414477489318
EA,0.05516392080421413
EX_COUNT,0.0525089867586198
EA_RET,0.048483234378847204
MAC,0.02810915223067671
CRVE,0.021251202363213144
CTW_A,0.02084237298268642
AD,0.019485002919097178
VLEN,0.019283158846452087
FD,0.01900937598208969
VWID_SD,0.017868077083332837
ATI,0.01764343806132145
JUNC,0.017518389042881163
VTI,0.016810510243011532
WID_SD,0.016668808512352782
VFD,0.01613341368332803
AFD,0.015983544152887278
VWID,0.01583074333089883
AVR,0.01530456617266177
WID,0.014581357869846557
AWID_SD,0.01445531915606483
CRAE,0.014361784694869182
CI,0.01405560259505791
TI,0.013775541320351867
AWID,0.01368317892419605
VD,0.013178566894843223
ADV_RATIO,0.011768469519288397
VeD,0.01144054069394776
